price,brand,model,year,title_status,mileage,color,state,country,condition
19300,chrysler,300,2019,clean vehicle,34801.0,gray,south carolina, usa,22 hours left
12780,gmc,door,2017,clean vehicle,31009.0,black,california, usa,20 hours left
15800,jeep,compass,2019,clean vehicle,35595.0,charcoal,north carolina, usa,2 days left
29400,bmw,x3,2017,clean vehicle,23765.0,black,tennessee, usa,22 hours left
4430,ford,door,2017,clean vehicle,31792.0,black,texas, usa,2 days left
19400,chrysler,300,2019,clean vehicle,33135.0,gray,south carolina, usa,22 hours left
12520,gmc,door,2017,clean vehicle,30636.0,red,california, usa,20 hours left
15900,jeep,compass,2019,clean vehicle,34502.0,red,north carolina, usa,2 days left
26400,buick,door,2017,clean vehicle,25434.0,white,florida, usa,22 hours left
4140,ford,door,2017,clean vehicle,36732.0,black,texas, usa,2 days left
18300,chrysler,300,2019,clean vehicle,41792.0,gray,south carolina, usa,22 hours left
12520,gmc,door,2017,clean vehicle,31992.0,black,california, usa,20 hours left
17900,jeep,compass,2019,clean vehicle,32501.0,red,north carolina, usa,2 days left
18300,chevrolet,camaro,2017,clean vehicle,28395.0,black,florida, usa,22 hours left
4640,ford,door,2017,clean vehicle,36139.0,blue,texas, usa,2 days left
24000,ford,door,2016,clean vehicle,84413.0,black,pennsylvania, usa,3 days left
13200,gmc,door,2017,clean vehicle,33457.0,white,california, usa,20 hours left
18000,jeep,compass,2019,clean vehicle,29245.0,gray,north carolina, usa,2 days left
14900,chevrolet,equinox,2017,clean vehicle,12783.0,silver,florida, usa,22 hours left
4140,ford,door,2017,clean vehicle,17617.0,white,texas, usa,2 days left
11500,ford,door,2016,clean vehicle,36855.0,black,pennsylvania, usa,2 days left
9110,ford,door,2017,clean vehicle,110316.0,white,texas, usa,2 days left
7350,chrysler,door,2015,clean vehicle,88227.0,black,pennsylvania, usa,2 days left
24500,bmw,door,2017,clean vehicle,17626.0,gray,michigan, usa,2 days left
9300,ford,door,2017,clean vehicle,120353.0,white,texas, usa,2 days left
39800,dodge,challenger,2015,clean vehicle,3641.0,white,pennsylvania, usa,2 days left
53500,bmw,m,2017,clean vehicle,29355.0,blue,michigan, usa,2 days left
15110,ford,door,2017,clean vehicle,39333.0,black,texas, usa,2 days left
34000,ford,door,2015,clean vehicle,42930.0,white,pennsylvania, usa,2 days left
26502,chevrolet,colorado,2017,clean vehicle,24993.0,black,michigan, usa,20 hours left
5990,ford,mpv,2017,clean vehicle,44929.0,black,texas, usa,2 days left
13600,ford,focus,2018,clean vehicle,16971.0,black,south carolina, usa,21 hours left
23605,cadillac,door,2017,clean vehicle,35598.0,gray,michigan, usa,2 days left
10780,ford,mpv,2017,clean vehicle,40455.0,white,texas, usa,2 days left
13800,ford,focus,2018,clean vehicle,23164.0,white,south carolina, usa,21 hours left
25201,cadillac,door,2017,clean vehicle,19011.0,no_color,michigan, usa,2 days left
7070,ford,mpv,2017,clean vehicle,45191.0,white,texas, usa,2 days left
8700,ford,focus,2018,clean vehicle,21405.0,white,south carolina, usa,21 hours left
18003,chevrolet,malibu,2017,clean vehicle,19117.0,no_color,michigan, usa,17 hours left
8530,ford,door,2017,clean vehicle,42104.0,black,texas, usa,2 days left
23100,dodge,durango,2018,clean vehicle,49496.0,white,south carolina, usa,21 hours left
24500,cadillac,door,2017,clean vehicle,32418.0,white,michigan, usa,2 days left
7000,ford,mpv,2017,clean vehicle,29882.0,white,texas, usa,2 days left
17000,ford,escape,2018,clean vehicle,34819.0,gold,south carolina, usa,21 hours left
34002,chevrolet,1500,2017,clean vehicle,31923.0,white,michigan, usa,2 days left
6980,ford,mpv,2017,clean vehicle,29168.0,gray,texas, usa,2 days left
25000,dodge,charger,2018,clean vehicle,28307.0,silver,michigan, usa,21 hours left
20802,chevrolet,colorado,2017,clean vehicle,33791.0,turquoise,michigan, usa,2 days left
9200,ford,door,2017,clean vehicle,21770.0,black,texas, usa,2 days left
26500,chrysler,pacifica,2017,clean vehicle,18375.0,gray,michigan, usa,21 hours left
24802,chevrolet,colorado,2017,clean vehicle,14158.0,gray,michigan, usa,2 days left
7070,ford,mpv,2017,clean vehicle,30318.0,black,texas, usa,2 days left
28500,ford,door,2017,clean vehicle,48086.0,red,south carolina, usa,21 hours left
47500,cadillac,door,2017,clean vehicle,26562.0,black,michigan, usa,2 days left
23500,ford,explorer,2017,clean vehicle,57611.0,black,south carolina, usa,21 hours left
23505,chevrolet,colorado,2017,clean vehicle,47357.0,black,michigan, usa,2 hours left
10940,ford,door,2017,clean vehicle,84916.0,white,texas, usa,2 days left
32100,ford,f-150,2017,clean vehicle,24521.0,gray,south carolina, usa,21 hours left
53000,chevrolet,3500,2018,clean vehicle,16105.0,black,washington, usa,21 hours left
6830,ford,mpv,2017,clean vehicle,35888.0,gold,texas, usa,2 days left
11900,dodge,caravan,2017,clean vehicle,59537.0,gray,south carolina, usa,21 hours left
26414,chevrolet,1500,2017,clean vehicle,55222.0,black,michigan, usa,20 hours left
4160,dodge,mpv,2018,clean vehicle,32870.0,gray,florida, usa,17 hours left
19405,chevrolet,door,2017,clean vehicle,39687.0,silver,michigan, usa,3 hours left
5690,dodge,mpv,2018,clean vehicle,47085.0,silver,florida, usa,17 hours left
25900,chrysler,van,2017,clean vehicle,32224.0,silver,south carolina, usa,21 hours left
24005,chevrolet,1500,2017,clean vehicle,51293.0,beige,michigan, usa,20 hours left
5090,dodge,mpv,2018,clean vehicle,42989.0,gray,florida, usa,17 hours left
19500,chrysler,300,2017,clean vehicle,31311.0,gray,arizona, usa,34 minutes
32012,chevrolet,1500,2017,clean vehicle,46091.0,white,michigan, usa,2 days left
6800,dodge,dart,2016,clean vehicle,49033.0,black,michigan, usa,2 days left
4260,dodge,mpv,2018,clean vehicle,33957.0,gray,florida, usa,16 hours left
0,dodge,van,2008,salvage insurance,177948.0,orange,utah, usa,2 days left
31802,chevrolet,2500,2017,clean vehicle,19845.0,silver,michigan, usa,20 hours left
7210,dodge,doors,2018,clean vehicle,38910.0,black,florida, usa,16 hours left
0,dodge,door,2014,salvage insurance,123660.0,silver,utah, usa,2 days left
28402,chevrolet,1500,2017,clean vehicle,31234.0,black,michigan, usa,2 days left
6800,dodge,doors,2018,clean vehicle,36767.0,gray,florida, usa,16 hours left
33300,cadillac,esv,2015,clean vehicle,57932.0,gray,washington, usa,21 hours left
10780,dodge,mpv,2018,clean vehicle,19420.0,white,florida, usa,16 hours left
6700,ford,cutaway,2014,clean vehicle,204155.0,beige,pennsylvania, usa,3 days left
20000,chevrolet,1500,2016,clean vehicle,93493.0,white,washington, usa,21 hours left
6440,chrysler,doors,2018,clean vehicle,20942.0,gray,florida, usa,17 hours left
19900,ford,door,2016,clean vehicle,86826.0,gray,south carolina, usa,21 hours left
37000,chevrolet,door,2015,clean vehicle,45787.0,white,washington, usa,21 hours left
4040,dodge,mpv,2018,clean vehicle,50765.0,red,florida, usa,16 hours left
22300,ford,explorer,2016,clean vehicle,62774.0,black,south carolina, usa,21 hours left
31200,chevrolet,door,2011,clean vehicle,76326.0,gray,washington, usa,21 hours left
4290,dodge,mpv,2018,clean vehicle,39029.0,white,florida, usa,16 hours left
22800,ford,el,2016,clean vehicle,72885.0,silver,south carolina, usa,21 hours left
19002,cadillac,door,2016,clean vehicle,46467.0,white,michigan, usa,20 hours left
4160,dodge,mpv,2018,clean vehicle,6743.0,gray,florida, usa,16 hours left
18500,ford,edge,2016,clean vehicle,33514.0,white,south carolina, usa,21 hours left
39000,bmw,series,2016,clean vehicle,39917.0,blue,michigan, usa,2 days left
6060,dodge,doors,2018,clean vehicle,32504.0,black,florida, usa,18 hours left
28800,ford,door,2016,clean vehicle,77638.0,white,south carolina, usa,21 hours left
40000,bmw,series,2016,clean vehicle,31727.0,gray,michigan, usa,2 days left
6140,dodge,doors,2018,clean vehicle,52966.0,silver,florida, usa,16 hours left
21000,ford,flex,2016,clean vehicle,24157.0,gray,south carolina, usa,21 hours left
20105,buick,door,2016,clean vehicle,51393.0,beige,michigan, usa,20 hours left
6760,dodge,doors,2018,clean vehicle,35461.0,white,florida, usa,16 hours left
25800,ford,door,2014,clean vehicle,47055.0,brown,pennsylvania, usa,1 days left
39000,bmw,series,2016,clean vehicle,33110.0,black,michigan, usa,2 days left
5470,dodge,mpv,2018,clean vehicle,39721.0,black,florida, usa,16 hours left
14600,ford,door,2014,clean vehicle,75785.0,black,pennsylvania, usa,21 hours left
24502,chevrolet,1500,2016,clean vehicle,33624.0,black,michigan, usa,20 hours left
15110,ford,door,2017,clean vehicle,42289.0,white,texas, usa,2 days left
7900,ford,door,2014,clean vehicle,79422.0,white,new york, usa,21 hours left
27305,chevrolet,door,2016,clean vehicle,28844.0,blue,michigan, usa,3 hours left
15290,ford,door,2017,clean vehicle,66582.0,white,texas, usa,2 days left
26500,ford,door,2015,clean vehicle,61436.0,silver,south carolina, usa,21 hours left
25502,chevrolet,door,2016,clean vehicle,58303.0,silver,michigan, usa,20 hours left
7320,ford,mpv,2017,clean vehicle,55618.0,white,texas, usa,2 days left
3800,chevrolet,van,2009,clean vehicle,261648.0,white,michigan, usa,2 days left
24502,chevrolet,door,2016,clean vehicle,33045.0,white,michigan, usa,20 hours left
4140,ford,door,2017,clean vehicle,40747.0,white,texas, usa,2 days left
1400,dodge,pk,2002,clean vehicle,185460.0,black,michigan, usa,2 days left
18402,cadillac,srx,2016,clean vehicle,26667.0,gray,michigan, usa,2 days left
4160,ford,door,2017,clean vehicle,37176.0,white,texas, usa,2 days left
175,chrysler,door,2000,salvage insurance,231240.0,red,north carolina, usa,3 days left
24503,chevrolet,colorado,2016,clean vehicle,18006.0,brown,michigan, usa,20 hours left
15840,ford,door,2017,clean vehicle,72445.0,white,texas, usa,2 days left
20500,ford,door,2014,clean vehicle,123355.0,black,south carolina, usa,21 hours left
21003,chevrolet,1500,2016,clean vehicle,44116.0,silver,michigan, usa,32 minutes
4200,ford,door,2017,clean vehicle,60219.0,red,texas, usa,2 days left
17400,ford,door,2011,clean vehicle,135077.0,red,georgia, usa,21 hours left
32001,chevrolet,door,2016,clean vehicle,32058.0,black,michigan, usa,2 days left
0,ford,mpv,2017,clean vehicle,76858.0,white,texas, usa,2 days left
15700,ford,cab,2011,clean vehicle,309564.0,white,south carolina, usa,21 hours left
31009,chevrolet,door,2016,clean vehicle,33928.0,white,michigan, usa,2 days left
3740,ford,wagon,2017,clean vehicle,90618.0,white,texas, usa,2 days left
5000,dodge,pickup,2001,clean vehicle,109360.0,white,georgia, usa,21 hours left
31002,chevrolet,door,2016,clean vehicle,71809.0,white,michigan, usa,20 hours left
3160,ford,doors,2017,clean vehicle,31563.0,gray,texas, usa,2 days left
8600,dodge,pickup,2005,clean vehicle,219823.0,gray,south carolina, usa,21 hours left
6000,chevrolet,malibu,2018,clean vehicle,42090.0,gray,texas, usa,21 hours left
12990,ford,door,2017,clean vehicle,126523.0,white,texas, usa,2 days left
25,chevrolet,vehicl,2020,salvage insurance,7232.0,black,kentucky, usa,3 days left
13200,buick,encore,2017,clean vehicle,60171.0,black,texas, usa,21 hours left
4410,ford,wagon,2017,clean vehicle,209915.0,white,texas, usa,2 days left
25,chrysler,door,2005,salvage insurance,151815.0,silver,massachusetts, usa,3 days left
22500,chevrolet,camaro,2020,clean vehicle,13826.0,green,georgia, usa,3 days left
7420,ford,mpv,2017,clean vehicle,55854.0,white,texas, usa,2 days left
13500,ford,door,2016,clean vehicle,45757.0,silver,arizona, usa,20 hours left
15500,chevrolet,trax,2020,clean vehicle,16545.0,white,georgia, usa,3 days left
3540,ford,door,2017,clean vehicle,112893.0,white,texas, usa,2 days left
17000,ford,door,2016,clean vehicle,126802.0,no_color,florida, usa,2 hours left
45500,chevrolet,tahoe,2020,clean vehicle,13303.0,white,georgia, usa,3 days left
4130,ford,door,2017,clean vehicle,34061.0,silver,texas, usa,2 days left
15700,ford,door,2015,clean vehicle,70251.0,white,arizona, usa,14 hours left
45500,chevrolet,tahoe,2020,clean vehicle,13679.0,gray,georgia, usa,3 days left
4130,ford,doors,2017,clean vehicle,42426.0,gray,texas, usa,2 days left
15500,dodge,door,2012,clean vehicle,66452.0,black,pennsylvania, usa,2 days left
16300,chevrolet,trax,2020,clean vehicle,18221.0,white,georgia, usa,3 days left
4530,ford,mpv,2017,clean vehicle,41455.0,white,texas, usa,2 days left
15600,dodge,door,2011,clean vehicle,35275.0,black,pennsylvania, usa,2 days left
45500,chevrolet,tahoe,2020,clean vehicle,13885.0,white,georgia, usa,3 days left
4100,ford,door,2017,clean vehicle,38815.0,gray,texas, usa,2 days left
18200,dodge,door,2011,clean vehicle,162281.0,white,pennsylvania, usa,2 days left
10200,chevrolet,door,2013,clean vehicle,56479.0,black,texas, usa,21 hours left
4080,ford,doors,2017,clean vehicle,61027.0,black,texas, usa,2 days left
5700,ford,van,2014,clean vehicle,178703.0,white,florida, usa,2 hours left
10200,chevrolet,3500,2014,clean vehicle,173469.0,white,texas, usa,21 hours left
5000,ford,door,2017,clean vehicle,37321.0,white,texas, usa,2 days left
1700,ford,door,2014,clean vehicle,112789.0,white,florida, usa,2 hours left
6200,bmw,door,2011,clean vehicle,80394.0,gray,texas, usa,21 hours left
3650,ford,door,2016,clean vehicle,68142.0,white,texas, usa,2 days left
10500,dodge,door,2014,clean vehicle,74203.0,white,arizona, usa,1 days left
43500,chevrolet,2500,2018,clean vehicle,57604.0,white,georgia, usa,6 days left
4610,dodge,van,2016,clean vehicle,87229.0,silver,texas, usa,2 days left
3450,ford,door,2012,clean vehicle,90711.0,white,florida, usa,1 days left
38500,chevrolet,suburban,2018,clean vehicle,11135.0,silver,georgia, usa,3 days left
6810,ford,mpv,2016,clean vehicle,66781.0,silver,texas, usa,2 days left
2900,ford,cargo,2011,clean vehicle,190994.0,white,florida, usa,2 hours left
43500,chevrolet,2500,2018,clean vehicle,56007.0,white,georgia, usa,6 days left
4450,ford,mpv,2016,clean vehicle,32486.0,white,texas, usa,2 days left
5800,ford,door,2011,clean vehicle,195908.0,white,florida, usa,2 hours left
16500,chevrolet,equinox,2018,clean vehicle,18020.0,silver,georgia, usa,3 days left
4240,dodge,mpv,2016,clean vehicle,83262.0,white,texas, usa,2 days left
26500,ford,pickup,2008,clean vehicle,62015.0,white,pennsylvania, usa,1 days left
13700,chevrolet,equinox,2017,clean vehicle,36421.0,silver,georgia, usa,3 days left
8600,ford,door,2016,clean vehicle,73321.0,white,texas, usa,2 days left
8000,ford,chassis,2008,clean vehicle,132379.0,white,florida, usa,2 days left
14200,chevrolet,equinox,2017,clean vehicle,28013.0,silver,georgia, usa,3 days left
7040,ford,mpv,2016,clean vehicle,33291.0,silver,texas, usa,2 days left
4700,ford,chassis,2005,clean vehicle,225236.0,no_color,florida, usa,2 hours left
30851,chevrolet,door,2016,clean vehicle,43176.0,red,georgia, usa,2 days left
4880,ford,mpv,2016,clean vehicle,36876.0,silver,texas, usa,2 days left
14500,dodge,pickup,2006,clean vehicle,111782.0,silver,pennsylvania, usa,3 days left
7600,chevrolet,door,2017,clean vehicle,110489.0,brown,nebraska, usa,5 hours left
13270,ford,door,2016,clean vehicle,84035.0,white,texas, usa,2 days left
12800,ford,door,2012,clean vehicle,131101.0,gray,arizona, usa,20 hours left
33000,chevrolet,1500,2018,clean vehicle,52521.0,white,ontario, canada,10 days left
9280,ford,door,2016,clean vehicle,101380.0,white,texas, usa,2 days left
900,ford,van,2003,clean vehicle,142027.0,white,florida, usa,2 hours left
7560,ford,door,2016,clean vehicle,111476.0,gray,texas, usa,2 days left
19500,ford,drw,2011,clean vehicle,76897.0,white,pennsylvania, usa,2 days left
17100,chevrolet,malibu,2019,clean vehicle,15780.0,white,washington, usa,2 days left
8020,ford,door,2016,clean vehicle,31944.0,white,texas, usa,2 days left
10300,ford,fiesta,2019,clean vehicle,18937.0,black,missouri, usa,4 days left
22600,chevrolet,van,2019,clean vehicle,9706.0,white,washington, usa,2 days left
10480,ford,doors,2016,clean vehicle,57289.0,gray,texas, usa,2 days left
10300,ford,fiesta,2019,clean vehicle,19956.0,silver,missouri, usa,4 days left
22700,chevrolet,van,2019,clean vehicle,6075.0,white,washington, usa,2 days left
7410,ford,door,2016,clean vehicle,21034.0,gray,texas, usa,2 days left
10300,ford,fiesta,2019,clean vehicle,22881.0,gray,missouri, usa,4 days left
10300,chevrolet,door,2013,clean vehicle,167600.0,gray,washington, usa,2 days left
7570,ford,door,2016,clean vehicle,37252.0,white,texas, usa,2 days left
67000,dodge,challenger,2019,clean vehicle,10944.0,blue,ohio, usa,21 hours left
18900,chevrolet,impala,2019,clean vehicle,27601.0,white,texas, usa,21 hours left
12560,ford,doors,2019,clean vehicle,15958.0,white,florida, usa,18 hours left
33000,dodge,durango,2019,clean vehicle,32251.0,white,ohio, usa,21 hours left
18300,chevrolet,impala,2019,clean vehicle,25809.0,black,texas, usa,21 hours left
11760,ford,cab,2017,clean vehicle,30553.0,white,texas, usa,2 days left
31700,dodge,durango,2019,clean vehicle,26549.0,red,ohio, usa,21 hours left
25,dodge,door,2007,salvage insurance,160528.0,dark blue,minnesota, usa,17 hours left
0,ford,door,2000,salvage insurance,124969.0,black,oklahoma, usa,17 hours left
7340,ford,doors,2019,clean vehicle,15854.0,gray,florida, usa,17 hours left
8200,hyundai,door,2017,clean vehicle,56690.0,white,connecticut, usa,5 hours left
3000,kia,door,2013,clean vehicle,97142.0,silver,missouri, usa,9 days left
6530,jeep,mpv,2019,clean vehicle,10185.0,black,georgia, usa,17 hours left
0,mazda,door,2009,salvage insurance,117541.0,gray,indiana, usa,16 hours left
12700,kia,soul,2019,clean vehicle,23514.0,silver,california, usa,10 days left
13800,kia,sorento,2017,clean vehicle,86959.0,gray,north carolina, usa,3 days left
0,chevrolet,pickup,1998,salvage insurance,258631.0,gray,texas, usa,17 hours left
725,ford,door,2017,salvage insurance,67279.0,gray,virginia, usa,2 days left
7400,ford,doors,2019,clean vehicle,16482.0,gray,florida, usa,17 hours left
9800,hyundai,elantra,2017,clean vehicle,35687.0,red,connecticut, usa,5 hours left
0,honda,door,2003,salvage insurance,152608.0,white,arkansas, usa,17 hours left
4400,jeep,mpv,2019,clean vehicle,17911.0,green,georgia, usa,17 hours left
10330,infiniti,mpv,2019,clean vehicle,21278.0,blue,florida, usa,22 hours left
1800,chevrolet,door,2011,salvage insurance,47269.0,black,arkansas, usa,17 hours left
50,chevrolet,door,2008,salvage insurance,172102.0,blue,texas, usa,18 hours left
720,ford,wagon,2006,clean vehicle,26914.0,no_color,florida, usa,23 hours left
22800,ford,door,2017,clean vehicle,67217.0,red,michigan, usa,2 days left
2500,ford,door,2017,salvage insurance,78698.0,black,california, usa,19 hours left
0,ford,door,2003,salvage insurance,246065.0,gold,kansas, usa,8 days left
9190,gmc,mpv,2017,clean vehicle,41961.0,black,virginia, usa,17 hours left
10900,jeep,mpv,2019,clean vehicle,13273.0,red,michigan, usa,2 days left
10400,infiniti,mpv,2019,clean vehicle,31713.0,black,florida, usa,22 hours left
0,chevrolet,door,2004,salvage insurance,0.0,maroon,wyoming, usa,18 hours left
0,chevrolet,door,2003,salvage insurance,194673.0,gray,texas, usa,18 hours left
7320,chevrolet,pickup,2008,clean vehicle,325611.0,silver,florida, usa,22 hours left
22809,ford,f-150,2017,clean vehicle,50732.0,black,michigan, usa,20 hours left
0,ford,van,1998,salvage insurance,186855.0,blue,california, usa,19 hours left
0,ford,door,2013,salvage insurance,94004.0,black,minnesota, usa,17 hours left
5520,gmc,mpv,2017,clean vehicle,52904.0,silver,virginia, usa,17 hours left
10900,jeep,mpv,2019,clean vehicle,14195.0,orange,michigan, usa,2 days left
6330,jeep,mpv,2019,clean vehicle,43965.0,red,florida, usa,22 hours left
0,chevrolet,door,2009,salvage insurance,117059.0,black,colorado, usa,18 hours left
25,chevrolet,pickup,2010,salvage insurance,149189.0,white,colorado, usa,18 hours left
2320,dodge,door,2007,clean vehicle,112182.0,red,florida, usa,22 hours left
23702,ford,door,2017,clean vehicle,49024.0,black,michigan, usa,2 days left
0,ford,chassis,1994,salvage insurance,0.0,green,california, usa,19 hours left
0,ford,door,1997,salvage insurance,203297.0,green,minnesota, usa,17 hours left
5520,gmc,mpv,2017,clean vehicle,35821.0,silver,virginia, usa,17 hours left
4050,heartland,pioneer,2018,clean vehicle,1.0,gray,pennsylvania, usa,7 days left
14810,infiniti,mpv,2019,clean vehicle,32611.0,brown,florida, usa,22 hours left
25,chevrolet,door,2011,salvage insurance,105244.0,white,colorado, usa,18 hours left
2960,chrysler,van,2008,clean vehicle,164048.0,red,florida, usa,23 hours left
24800,ford,door,2017,clean vehicle,46955.0,gray,michigan, usa,2 days left
0,ford,door,1996,salvage insurance,296860.0,green,california, usa,19 hours left
0,ford,door,2006,salvage insurance,203158.0,red,illinois, usa,17 hours left
6270,gmc,mpv,2017,clean vehicle,70443.0,black,virginia, usa,17 hours left
1880,heartland,trail,2012,clean vehicle,1.0,white,pennsylvania, usa,7 days left
10050,infiniti,mpv,2019,clean vehicle,18229.0,gray,florida, usa,22 hours left
225,chevrolet,door,2014,salvage insurance,87673.0,red,colorado, usa,18 hours left
26900,chevrolet,traverse,2018,clean vehicle,42941.0,black,missouri, usa,20 hours left
1420,chrysler,door,2007,clean vehicle,104405.0,gold,florida, usa,23 hours left
27003,ford,door,2017,clean vehicle,57186.0,black,michigan, usa,20 hours left
0,ford,door,2002,salvage insurance,214800.0,black,south carolina, usa,2 days left
350,ford,door,2004,salvage insurance,236980.0,gray,illinois, usa,17 hours left
5600,gmc,mpv,2017,clean vehicle,59808.0,black,virginia, usa,17 hours left
6680,heartland,country,2011,clean vehicle,1.0,gray,pennsylvania, usa,7 days left
10120,infiniti,mpv,2019,clean vehicle,20681.0,white,florida, usa,22 hours left
0,chevrolet,door,2010,salvage insurance,137422.0,red,colorado, usa,18 hours left
3920,ford,door,2015,clean vehicle,102700.0,white,georgia, usa,2 days left
23100,ford,door,2017,clean vehicle,53270.0,black,michigan, usa,20 hours left
0,gmc,door,2004,salvage insurance,235348.0,gold,south carolina, usa,2 days left
5630,gmc,mpv,2017,clean vehicle,27195.0,black,virginia, usa,17 hours left
0,heartland,sundance,2009,clean vehicle,1.0,white,pennsylvania, usa,7 days left
